10, 1000000, bubble sort, reversed, 0.001
10, 1000000, bubble sort, random, 0.001
10, 1000000, bubble sort, partially sorted 10%, 0.001
10, 1000000, bubble sort, partially sorted 30%, 0.001
10, 1000000, bubble sort, partially sorted 50%, 0.001
10, 1000000, bubble sort, partially sorted 70%, 0.001
10, 1000000, bubble sort, partially sorted 90%, 0.001
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
10, 1000000, insertion sort, reversed, 0.001
10, 1000000, insertion sort, random, 0.001
10, 1000000, insertion sort, partially sorted 10%, 0.001
10, 1000000, insertion sort, partially sorted 30%, 0.001
10, 1000000, insertion sort, partially sorted 50%, 0.001
10, 1000000, insertion sort, partially sorted 70%, 0.001
10, 1000000, insertion sort, partially sorted 90%, 0.001
10, 1000000, selection sort, reversed, 0.001
10, 1000000, selection sort, random, 0.001
10, 1000000, selection sort, partially sorted 10%, 0.001
10, 1000000, selection sort, partially sorted 30%, 0.001
10, 1000000, selection sort, partially sorted 50%, 0.001
10, 1000000, selection sort, partially sorted 70%, 0.001
10, 1000000, selection sort, partially sorted 90%, 0.001
10, 1000000, merge sort, reversed, 0.001
10, 1000000, merge sort, random, 0.001
10, 1000000, merge sort, partially sorted 10%, 0.001
10, 1000000, merge sort, partially sorted 30%, 0.001
10, 1000000, merge sort, partially sorted 50%, 0.001
10, 1000000, merge sort, partially sorted 70%, 0.001
10, 1000000, merge sort, partially sorted 90%, 0.001
10, 1000000, radix sort, reversed, 0.001
10, 1000000, radix sort, random, 0.001
10, 1000000, radix sort, partially sorted 10%, 0.001
10, 1000000, radix sort, partially sorted 30%, 0.001
10, 1000000, radix sort, partially sorted 50%, 0.001
10, 1000000, radix sort, partially sorted 70%, 0.001
10, 1000000, radix sort, partially sorted 90%, 0.001
50, 1000000, bubble sort, reversed, 0.010
50, 1000000, bubble sort, random, 0.013
50, 1000000, bubble sort, partially sorted 10%, 0.007
50, 1000000, bubble sort, partially sorted 30%, 0.004
50, 1000000, bubble sort, partially sorted 50%, 0.004
50, 1000000, bubble sort, partially sorted 70%, 0.004
50, 1000000, bubble sort, partially sorted 90%, 0.004
50, 1000000, quick sort, reversed, 0.010
50, 1000000, quick sort, random, 0.005
50, 1000000, quick sort, partially sorted 10%, 0.007
50, 1000000, quick sort, partially sorted 30%, 0.010
50, 1000000, quick sort, partially sorted 50%, 0.010
50, 1000000, quick sort, partially sorted 70%, 0.010
50, 1000000, quick sort, partially sorted 90%, 0.010
50, 1000000, insertion sort, reversed, 0.007
50, 1000000, insertion sort, random, 0.005
50, 1000000, insertion sort, partially sorted 10%, 0.002
50, 1000000, insertion sort, partially sorted 30%, 0.001
50, 1000000, insertion sort, partially sorted 50%, 0.001
50, 1000000, insertion sort, partially sorted 70%, 0.001
50, 1000000, insertion sort, partially sorted 90%, 0.001
50, 1000000, selection sort, reversed, 0.006
50, 1000000, selection sort, random, 0.009
50, 1000000, selection sort, partially sorted 10%, 0.007
50, 1000000, selection sort, partially sorted 30%, 0.007
50, 1000000, selection sort, partially sorted 50%, 0.007
50, 1000000, selection sort, partially sorted 70%, 0.007
50, 1000000, selection sort, partially sorted 90%, 0.007
50, 1000000, merge sort, reversed, 0.005
50, 1000000, merge sort, random, 0.007
50, 1000000, merge sort, partially sorted 10%, 0.005
50, 1000000, merge sort, partially sorted 30%, 0.005
50, 1000000, merge sort, partially sorted 50%, 0.005
50, 1000000, merge sort, partially sorted 70%, 0.005
50, 1000000, merge sort, partially sorted 90%, 0.005
50, 1000000, radix sort, reversed, 0.003
50, 1000000, radix sort, random, 0.003
50, 1000000, radix sort, partially sorted 10%, 0.003
50, 1000000, radix sort, partially sorted 30%, 0.003
50, 1000000, radix sort, partially sorted 50%, 0.003
50, 1000000, radix sort, partially sorted 70%, 0.003
50, 1000000, radix sort, partially sorted 90%, 0.003
100, 1000000, bubble sort, reversed, 0.037
100, 1000000, bubble sort, random, 0.047
100, 1000000, bubble sort, partially sorted 10%, 0.027
100, 1000000, bubble sort, partially sorted 30%, 0.020
100, 1000000, bubble sort, partially sorted 50%, 0.017
100, 1000000, bubble sort, partially sorted 70%, 0.013
100, 1000000, bubble sort, partially sorted 90%, 0.013
100, 1000000, quick sort, reversed, 0.036
100, 1000000, quick sort, random, 0.011
100, 1000000, quick sort, partially sorted 10%, 0.015
100, 1000000, quick sort, partially sorted 30%, 0.028
100, 1000000, quick sort, partially sorted 50%, 0.032
100, 1000000, quick sort, partially sorted 70%, 0.037
100, 1000000, quick sort, partially sorted 90%, 0.037
100, 1000000, insertion sort, reversed, 0.025
100, 1000000, insertion sort, random, 0.015
100, 1000000, insertion sort, partially sorted 10%, 0.005
100, 1000000, insertion sort, partially sorted 30%, 0.002
100, 1000000, insertion sort, partially sorted 50%, 0.002
100, 1000000, insertion sort, partially sorted 70%, 0.001
100, 1000000, insertion sort, partially sorted 90%, 0.001
100, 1000000, selection sort, reversed, 0.023
100, 1000000, selection sort, random, 0.031
100, 1000000, selection sort, partially sorted 10%, 0.026
100, 1000000, selection sort, partially sorted 30%, 0.026
100, 1000000, selection sort, partially sorted 50%, 0.026
100, 1000000, selection sort, partially sorted 70%, 0.025
100, 1000000, selection sort, partially sorted 90%, 0.026
100, 1000000, merge sort, reversed, 0.010
100, 1000000, merge sort, random, 0.016
100, 1000000, merge sort, partially sorted 10%, 0.012
100, 1000000, merge sort, partially sorted 30%, 0.011
100, 1000000, merge sort, partially sorted 50%, 0.010
100, 1000000, merge sort, partially sorted 70%, 0.010
100, 1000000, merge sort, partially sorted 90%, 0.010
100, 1000000, radix sort, reversed, 0.005
100, 1000000, radix sort, random, 0.007
100, 1000000, radix sort, partially sorted 10%, 0.005
100, 1000000, radix sort, partially sorted 30%, 0.005
100, 1000000, radix sort, partially sorted 50%, 0.005
100, 1000000, radix sort, partially sorted 70%, 0.005
100, 1000000, radix sort, partially sorted 90%, 0.005
1000, 100, bubble sort, reversed, 3.711
1000, 100, bubble sort, random, 3.120
1000, 100, bubble sort, partially sorted 10%, 2.537
1000, 100, bubble sort, partially sorted 30%, 2.353
1000, 100, bubble sort, partially sorted 50%, 2.264
1000, 100, bubble sort, partially sorted 70%, 2.176
1000, 100, bubble sort, partially sorted 90%, 2.169
1000, 100, quick sort, reversed, 3.215
1000, 100, quick sort, random, 0.160
1000, 100, quick sort, partially sorted 10%, 0.217
1000, 100, quick sort, partially sorted 30%, 0.367
1000, 100, quick sort, partially sorted 50%, 0.622
1000, 100, quick sort, partially sorted 70%, 0.780
1000, 100, quick sort, partially sorted 90%, 1.052
1000, 100, insertion sort, reversed, 2.385
1000, 100, insertion sort, random, 1.209
1000, 100, insertion sort, partially sorted 10%, 0.292
1000, 100, insertion sort, partially sorted 30%, 0.109
1000, 100, insertion sort, partially sorted 50%, 0.069
1000, 100, insertion sort, partially sorted 70%, 0.052
1000, 100, insertion sort, partially sorted 90%, 0.042
1000, 100, selection sort, reversed, 2.093
1000, 100, selection sort, random, 2.388
1000, 100, selection sort, partially sorted 10%, 2.347
1000, 100, selection sort, partially sorted 30%, 2.345
1000, 100, selection sort, partially sorted 50%, 2.345
1000, 100, selection sort, partially sorted 70%, 2.346
1000, 100, selection sort, partially sorted 90%, 2.363
1000, 100, merge sort, reversed, 0.124
1000, 100, merge sort, random, 0.214
1000, 100, merge sort, partially sorted 10%, 0.150
1000, 100, merge sort, partially sorted 30%, 0.138
1000, 100, merge sort, partially sorted 50%, 0.135
1000, 100, merge sort, partially sorted 70%, 0.129
1000, 100, merge sort, partially sorted 90%, 0.130
1000, 100, radix sort, reversed, 0.066
1000, 100, radix sort, random, 0.103
1000, 100, radix sort, partially sorted 10%, 0.087
1000, 100, radix sort, partially sorted 30%, 0.065
1000, 100, radix sort, partially sorted 50%, 0.065
1000, 100, radix sort, partially sorted 70%, 0.066
1000, 100, radix sort, partially sorted 90%, 0.067
10000, 10, bubble sort, reversed, 361.338
10000, 10, bubble sort, random, 310.295
10000, 10, bubble sort, partially sorted 10%, 254.257
10000, 10, bubble sort, partially sorted 30%, 245.054
10000, 10, bubble sort, partially sorted 50%, 236.306
10000, 10, bubble sort, partially sorted 70%, 232.797
10000, 10, bubble sort, partially sorted 90%, 230.022
10000, 10, quick sort, reversed, 312.116
10000, 10, quick sort, random, 2.140
10000, 10, quick sort, partially sorted 10%, 3.103
10000, 10, quick sort, partially sorted 30%, 5.100
10000, 10, quick sort, partially sorted 50%, 9.882
10000, 10, quick sort, partially sorted 70%, 7.438
10000, 10, quick sort, partially sorted 90%, 10.578
10000, 10, insertion sort, reversed, 235.495
10000, 10, insertion sort, random, 118.386
10000, 10, insertion sort, partially sorted 10%, 27.537
10000, 10, insertion sort, partially sorted 30%, 9.985
10000, 10, insertion sort, partially sorted 50%, 6.381
10000, 10, insertion sort, partially sorted 70%, 4.604
10000, 10, insertion sort, partially sorted 90%, 3.688
10000, 10, selection sort, reversed, 206.273
10000, 10, selection sort, random, 230.297
10000, 10, selection sort, partially sorted 10%, 233.828
10000, 10, selection sort, partially sorted 30%, 239.237
10000, 10, selection sort, partially sorted 50%, 235.613
10000, 10, selection sort, partially sorted 70%, 235.761
10000, 10, selection sort, partially sorted 90%, 234.586
10000, 10, merge sort, reversed, 1.481
10000, 10, merge sort, random, 2.778
10000, 10, merge sort, partially sorted 10%, 1.928
10000, 10, merge sort, partially sorted 30%, 1.709
10000, 10, merge sort, partially sorted 50%, 1.671
10000, 10, merge sort, partially sorted 70%, 1.685
10000, 10, merge sort, partially sorted 90%, 1.660
10000, 10, radix sort, reversed, 0.856
10000, 10, radix sort, random, 1.010
10000, 10, radix sort, partially sorted 10%, 0.913
10000, 10, radix sort, partially sorted 30%, 0.926
10000, 10, radix sort, partially sorted 50%, 0.855
10000, 10, radix sort, partially sorted 70%, 0.866
10000, 10, radix sort, partially sorted 90%, 0.851

100000, 1, bubble sort, reversed, 13228.117
100000, 1, bubble sort, random, 18520.945
100000, 1, bubble sort, partially sorted 10%, 9423.954
100000, 1, bubble sort, partially sorted 30%, 8105.251
100000, 1, bubble sort, partially sorted 50%, 7537.942
100000, 1, bubble sort, partially sorted 70%, 7643.391
100000, 1, bubble sort, partially sorted 90%, 7640.430
100000, 1, quick sort, reversed, 12725.631
100000, 1, quick sort, random, 10.412
100000, 1, quick sort, partially sorted 10%, 14.681
100000, 1, quick sort, partially sorted 30%, 17.405
100000, 1, quick sort, partially sorted 50%, 41.464
100000, 1, quick sort, partially sorted 70%, 50.374
100000, 1, quick sort, partially sorted 90%, 72.064
100000, 1, insertion sort, reversed, 8343.083
100000, 1, insertion sort, random, 4198.798
100000, 1, insertion sort, partially sorted 10%, 985.757
100000, 1, insertion sort, partially sorted 30%, 342.495
100000, 1, insertion sort, partially sorted 50%, 222.384
100000, 1, insertion sort, partially sorted 70%, 165.761
100000, 1, insertion sort, partially sorted 90%, 122.072
100000, 1, selection sort, reversed, 7143.945
100000, 1, selection sort, random, 6847.988
100000, 1, selection sort, partially sorted 10%, 6856.536
100000, 1, selection sort, partially sorted 30%, 6747.636
100000, 1, selection sort, partially sorted 50%, 6656.085
100000, 1, selection sort, partially sorted 70%, 6655.227
100000, 1, selection sort, partially sorted 90%, 6765.990
100000, 1, merge sort, reversed, 20.611
100000, 1, merge sort, random, 28.249
100000, 1, merge sort, partially sorted 10%, 23.177
100000, 1, merge sort, partially sorted 30%, 22.078
100000, 1, merge sort, partially sorted 50%, 22.141
100000, 1, merge sort, partially sorted 70%, 21.452
100000, 1, merge sort, partially sorted 90%, 21.385
100000, 1, radix sort, reversed, 5.932
100000, 1, radix sort, random, 6.419
100000, 1, radix sort, partially sorted 10%, 5.705
100000, 1, radix sort, partially sorted 30%, 5.299
100000, 1, radix sort, partially sorted 50%, 5.285
100000, 1, radix sort, partially sorted 70%, 5.440
100000, 1, radix sort, partially sorted 90%, 5.236
1000000, 1, bubble sort, reversed, 1318478.982
1000000, 1, bubble sort, random, 1808240.000
1000000, 1, bubble sort, partially sorted 10%, 929435.363
1000000, 1, bubble sort, partially sorted 30%, 794225.441
1000000, 1, bubble sort, partially sorted 50%, 756972.269
1000000, 1, bubble sort, partially sorted 70%, 738981.413
1000000, 1, bubble sort, partially sorted 90%, 722407.651

[1]    44727 segmentation fault 10, 1000000, bubble sort, reversed, 0.001
10, 1000000, bubble sort, random, 0.001
10, 1000000, bubble sort, partially sorted 10%, 0.001
10, 1000000, bubble sort, partially sorted 30%, 0.001
10, 1000000, bubble sort, partially sorted 50%, 0.001
10, 1000000, bubble sort, partially sorted 70%, 0.001
10, 1000000, bubble sort, partially sorted 90%, 0.001
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
10, 1000000, insertion sort, reversed, 0.001
10, 1000000, insertion sort, random, 0.001
10, 1000000, insertion sort, partially sorted 10%, 0.001
10, 1000000, insertion sort, partially sorted 30%, 0.001
10, 1000000, insertion sort, partially sorted 50%, 0.001
10, 1000000, insertion sort, partially sorted 70%, 0.001
10, 1000000, insertion sort, partially sorted 90%, 0.001
10, 1000000, selection sort, reversed, 0.001
10, 1000000, selection sort, random, 0.001
10, 1000000, selection sort, partially sorted 10%, 0.001
10, 1000000, selection sort, partially sorted 30%, 0.001
10, 1000000, selection sort, partially sorted 50%, 0.001
10, 1000000, selection sort, partially sorted 70%, 0.001
10, 1000000, selection sort, partially sorted 90%, 0.001
10, 1000000, merge sort, reversed, 0.001
10, 1000000, merge sort, random, 0.001
10, 1000000, merge sort, partially sorted 10%, 0.001
10, 1000000, merge sort, partially sorted 30%, 0.001
10, 1000000, merge sort, partially sorted 50%, 0.001
10, 1000000, merge sort, partially sorted 70%, 0.001
10, 1000000, merge sort, partially sorted 90%, 0.001
10, 1000000, radix sort, reversed, 0.001
10, 1000000, radix sort, random, 0.001
10, 1000000, radix sort, partially sorted 10%, 0.001
10, 1000000, radix sort, partially sorted 30%, 0.001
10, 1000000, radix sort, partially sorted 50%, 0.001
10, 1000000, radix sort, partially sorted 70%, 0.001
10, 1000000, radix sort, partially sorted 90%, 0.001
50, 1000000, bubble sort, reversed, 0.010
50, 1000000, bubble sort, random, 0.014
50, 1000000, bubble sort, partially sorted 10%, 0.008
50, 1000000, bubble sort, partially sorted 30%, 0.004
50, 1000000, bubble sort, partially sorted 50%, 0.004
50, 1000000, bubble sort, partially sorted 70%, 0.004
50, 1000000, bubble sort, partially sorted 90%, 0.004
50, 1000000, quick sort, reversed, 0.010
50, 1000000, quick sort, random, 0.005
50, 1000000, quick sort, partially sorted 10%, 0.007
50, 1000000, quick sort, partially sorted 30%, 0.011
50, 1000000, quick sort, partially sorted 50%, 0.011
50, 1000000, quick sort, partially sorted 70%, 0.011
50, 1000000, quick sort, partially sorted 90%, 0.011
50, 1000000, insertion sort, reversed, 0.007
50, 1000000, insertion sort, random, 0.005
50, 1000000, insertion sort, partially sorted 10%, 0.002
50, 1000000, insertion sort, partially sorted 30%, 0.001
50, 1000000, insertion sort, partially sorted 50%, 0.001
50, 1000000, insertion sort, partially sorted 70%, 0.001
50, 1000000, insertion sort, partially sorted 90%, 0.001
50, 1000000, selection sort, reversed, 0.006
50, 1000000, selection sort, random, 0.010
50, 1000000, selection sort, partially sorted 10%, 0.008
50, 1000000, selection sort, partially sorted 30%, 0.007
50, 1000000, selection sort, partially sorted 50%, 0.007
50, 1000000, selection sort, partially sorted 70%, 0.007
50, 1000000, selection sort, partially sorted 90%, 0.007
50, 1000000, merge sort, reversed, 0.005
50, 1000000, merge sort, random, 0.007
50, 1000000, merge sort, partially sorted 10%, 0.006
50, 1000000, merge sort, partially sorted 30%, 0.005
50, 1000000, merge sort, partially sorted 50%, 0.005
50, 1000000, merge sort, partially sorted 70%, 0.005
50, 1000000, merge sort, partially sorted 90%, 0.005
50, 1000000, radix sort, reversed, 0.003
50, 1000000, radix sort, random, 0.003
50, 1000000, radix sort, partially sorted 10%, 0.003
50, 1000000, radix sort, partially sorted 30%, 0.003
50, 1000000, radix sort, partially sorted 50%, 0.003
50, 1000000, radix sort, partially sorted 70%, 0.003
50, 1000000, radix sort, partially sorted 90%, 0.003
100, 1000000, bubble sort, reversed, 0.040
100, 1000000, bubble sort, random, 0.050
100, 1000000, bubble sort, partially sorted 10%, 0.030
100, 1000000, bubble sort, partially sorted 30%, 0.021
100, 1000000, bubble sort, partially sorted 50%, 0.019
100, 1000000, bubble sort, partially sorted 70%, 0.013
100, 1000000, bubble sort, partially sorted 90%, 0.014
100, 1000000, quick sort, reversed, 0.037
100, 1000000, quick sort, random, 0.011
100, 1000000, quick sort, partially sorted 10%, 0.016
100, 1000000, quick sort, partially sorted 30%, 0.029
100, 1000000, quick sort, partially sorted 50%, 0.033
100, 1000000, quick sort, partially sorted 70%, 0.038
100, 1000000, quick sort, partially sorted 90%, 0.038
100, 1000000, insertion sort, reversed, 0.026
100, 1000000, insertion sort, random, 0.015
100, 1000000, insertion sort, partially sorted 10%, 0.005
100, 1000000, insertion sort, partially sorted 30%, 0.002
100, 1000000, insertion sort, partially sorted 50%, 0.002
100, 1000000, insertion sort, partially sorted 70%, 0.002
100, 1000000, insertion sort, partially sorted 90%, 0.002
100, 1000000, selection sort, reversed, 0.024
100, 1000000, selection sort, random, 0.032
100, 1000000, selection sort, partially sorted 10%, 0.027
100, 1000000, selection sort, partially sorted 30%, 0.027
100, 1000000, selection sort, partially sorted 50%, 0.029
100, 1000000, selection sort, partially sorted 70%, 0.027
100, 1000000, selection sort, partially sorted 90%, 0.027
100, 1000000, merge sort, reversed, 0.010
100, 1000000, merge sort, random, 0.017
100, 1000000, merge sort, partially sorted 10%, 0.012
100, 1000000, merge sort, partially sorted 30%, 0.011
100, 1000000, merge sort, partially sorted 50%, 0.011
100, 1000000, merge sort, partially sorted 70%, 0.011
100, 1000000, merge sort, partially sorted 90%, 0.010
100, 1000000, radix sort, reversed, 0.005
100, 1000000, radix sort, random, 0.007
100, 1000000, radix sort, partially sorted 10%, 0.006
100, 1000000, radix sort, partially sorted 30%, 0.006
100, 1000000, radix sort, partially sorted 50%, 0.006
100, 1000000, radix sort, partially sorted 70%, 0.006
100, 1000000, radix sort, partially sorted 90%, 0.006
1000000, 1, merge sort, reversed, 249.892
1000000, 1, merge sort, random, 436.337
1000000, 1, merge sort, partially sorted 10%, 273.298
1000000, 1, merge sort, partially sorted 30%, 254.878
1000000, 1, merge sort, partially sorted 50%, 244.652
1000000, 1, merge sort, partially sorted 70%, 241.889
1000000, 1, merge sort, partially sorted 90%, 231.909
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
50, 1000000, quick sort, reversed, 0.011
50, 1000000, quick sort, random, 0.005
50, 1000000, quick sort, partially sorted 10%, 0.007
50, 1000000, quick sort, partially sorted 30%, 0.011
50, 1000000, quick sort, partially sorted 50%, 0.011
50, 1000000, quick sort, partially sorted 70%, 0.011
50, 1000000, quick sort, partially sorted 90%, 0.011
